url,title,description
https://practicaldatascience.co.uk/data-science/how-to-create-a-python-virtual-environment-for-jupyter,How to create a Python virtual environment for Jupyter,Learn how to create a virtual environment for your Jupyter notebook using venv and virtualenv to help avoid package clashes that mess up your system.
https://practicaldatascience.co.uk/data-science/how-to-engineer-date-features-using-pandas,How to engineer date features using Pandas,"In time series datasets dates often hold the key to improving performance, but they need to be transformed via feature engineering to reveal their secrets."
https://practicaldatascience.co.uk/machine-learning/how-to-impute-missing-numeric-values-in-your-dataset,How to impute missing numeric values in your dataset,Cleverly filling in the gaps when numeric data is missing from your dataset can often boost the performance of your machine learning models.
https://practicaldatascience.co.uk/machine-learning/how-to-interpret-the-confusion-matrix,How to interpret the confusion matrix,The confusion matrix can tell you more about your model than the accuracy score. We build a model to examine the breast cancer dataset to see how it works.
https://practicaldatascience.co.uk/machine-learning/how-to-use-mean-encoding-in-your-machine-learning-models,How to use mean encoding in your machine learning models,Learn how to use the mean encoding technique to generate powerful new features from your data to help your machine learning model make better predictions.
https://practicaldatascience.co.uk/data-science/how-to-use-python-regular-expressions-to-extract-information,How to use Python regular expressions to extract information,"Regular expressions, or regexes, are widely used in data science for matching specific patterns in text. Here's a quick guide to getting started with them."
https://practicaldatascience.co.uk/data-science/how-to-use-scikit-learn-datasets-in-data-science-projects,How to use scikit-learn datasets in data science projects,"To learn data science techniques you’ll need the right kind of datasets. Thankfully, many are easy to access from within the scikit-learn package."
https://practicaldatascience.co.uk/machine-learning/how-to-use-your-gpu-to-accelerate-xgboost-models,How to use your GPU to accelerate XGBoost models,Do your XGBoost machine learning models take an age to run? You could make them several times faster by using your GPU.
https://practicaldatascience.co.uk/data-science/how-to-access-google-analytics-data-in-pandas-using-gapandas,How to use GAPandas to view your Google Analytics data,"Learn how to use GAPandas to query the Google Analytics API and view, analyse, and visualise your web analytics data from within Pandas dataframes."
https://practicaldatascience.co.uk/machine-learning/how-to-a-create-a-neural-network-for-sentiment-analysis,How to create a neural network for sentiment analysis,Learn how to use a recurrent neural network and the Long Short-Term Memory model to analyse sentiment with Keras and TensorFlow in Python.
https://practicaldatascience.co.uk/machine-learning/how-to-build-hotdog-not-hotdog-image-classifier,"How to build the 'Hotdog , not Hotdog' image classifier","Learn how to classify images using Keras and TensorFlow by building the 'Hotdog, Not Hotdog' Convolutional Neural Net image classifier from Silicon Valley."
https://practicaldatascience.co.uk/data-science/how-to-create-a-collaborative-filtering-recommender-system,How to create a collaborative filtering recommender system,Learn how to use item-based and user-based collaborative filtering to create a powerful recommender system in Python. 
https://practicaldatascience.co.uk/data-science/how-to-create-a-pandas-dataframe,How to create a Pandas dataframe,"Pandas lets you create dataframes from almost any type of data, including lists, dictionaries, tuples, NumPy arrays, and files. Here’s how it’s done."
https://practicaldatascience.co.uk/machine-learning/how-to-perform-audio-source-separation-using-spleeter,How to separate audio source data using Spleeter,Learn how to use Deezer's TensorFlow powered Spleeter model to separate music into vocals and accompaniment using Python.
https://practicaldatascience.co.uk/machine-learning/how-to-perform-facial-recognition-in-python,How to perform facial recognition in Python,Facial recognition is now very effective and has become part of everyday life. Here's how to use Python to perform facial detection and facial recognition.
https://practicaldatascience.co.uk/data-science/how-to-scrape-competitor-technology-data-in-python,How to scrape competitor technology data in Python,Learn how to automate the collection of website technology data from your competitors using Builtwith and Python.
https://practicaldatascience.co.uk/data-science/how-to-scrape-json-ld-competitor-reviews-using-extruct,How to scrape JSON-LD competitor reviews using Extruct,"Here's how you can use Python, Selenium, and Extruct to create a headless web browser and scrape your competitors' reviews to analyse."
https://practicaldatascience.co.uk/machine-learning/how-to-test-your-keras-cuda-cudnn-tensorflow-install,"How to test your Keras, CUDA, CuDNN, and TensorFlow install","Setting up TensorFlow, Keras, CUDA, and CuDNN can be a painful experience on Ubuntu 20.04. Here is the combination of packages that worked for me."
https://practicaldatascience.co.uk/machine-learning/how-to-tune-model-hyper-parameters-with-grid-search,How to tune model hyper-parameters with grid search,Every scikit-learn model has hyper-parameters you can tune to obtain improvements. Here’s how to find the right hyper-parameters using GridSearch.
https://practicaldatascience.co.uk/data-engineering/how-to-use-docker-for-your-data-science-projects,How to use Docker for your data science projects,"Learning to use Docker containers for your data science projects will make configuring, deploying, and sharing models with colleagues much easier."
https://practicaldatascience.co.uk/machine-learning/how-to-use-natural-language-understanding-models,How to use Natural Language Understanding models,"Learn how to use Natural Language Understanding (NLU) via PyTorch and Hugging Face Transformers to understand sentiment, perform NER, and more."
https://practicaldatascience.co.uk/data-science/how-to-use-the-apriori-algorithm-for-market-basket-analysis,How to use the Apriori algorithm for Market Basket Analysis,Learn how to use the Apriori algorithm to run a Market Basket Analysis on Google Analytics API ecommerce data using mlxtend and GAPandas.
https://practicaldatascience.co.uk/data-science/how-to-use-the-pandas-melt-function-to-reshape-your-data,How to use melt in Pandas to reshape wide format data,Learn how to use the Pandas melt function to reshape wide format data so you can use it in your machine learning models. 
https://practicaldatascience.co.uk/machine-learning/a-quick-guide-to-learning-to-rank-models,A quick guide to Learning to Rank models,Learning to Rank or LTR models improve the performance of on-site search results on ecommerce websites via machine learning. Here’s how they work.
https://practicaldatascience.co.uk/machine-learning/a-quick-guide-to-machine-learning-uplift-models,A quick guide to machine learning uplift models,"Unlike response or propensity models, uplift models let you identify customers who will only buy if targeted with a promotion. Here’s how they work."
https://practicaldatascience.co.uk/machine-learning/a-quick-guide-to-next-product-to-buy-models,A quick guide to Next-Product-To-Buy models,"Next-Product-To-Buy or NPTB models can predict not only what a customer will buy, but also when they’ll buy it. Here's how they work."
https://practicaldatascience.co.uk/machine-learning/a-quick-guide-to-product-attribute-extraction-models,A quick guide to Product Attribute Extraction models,"Learn how to use Pandas, GeoPy, Nominatim, and Folium to geocode addresses and map their locations using Python. "
